File Name,Collection_Type,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...,identified_noun,conventional_classifier,classifier_type,overuse_of_ge,rationale
Mandarin/AcadLang/lower/001.xml,Chinese,,这 个 是 什么 呀,det cl v:cop pro:wh sfp,这,个,General,False,OMITTED,N/A,General,False,"In demonstrative constructions where the noun is omitted (e.g., 'Zhe ge'), using the general classifier 'ge' is standard adult usage."
Mandarin/AcadLang/lower/001.xml,Chinese,,这 个 样子 啊,det cl n sfp,这,个,General,False,yangzi,ge,General,False,"The noun '样子' (appearance/way/manner) conventionally takes the general classifier '个', making this correct adult-like usage."
Mandarin/AcadLang/lower/001.xml,Chinese,,那 之后 小孩 又 看 到 这 个,pro:dem post n adv v v:resc det cl,这,个,General,False,OMITTED,N/A,General,False,Demonstrative usage without noun is correct.
Mandarin/AcadLang/lower/001.xml,Chinese,,这 个 是 什么 啊,det cl v:cop pro:wh sfp,这,个,General,False,OMITTED,N/A,General,False,"The noun is omitted in this demonstrative construction (这个 + copula). When no noun is present, 'ge' is the standard and correct general classifier to use with demonstratives like 这."
Mandarin/AcadLang/lower/001.xml,Chinese,,这 本来 是 两 个 字,pro:dem adv v:cop num cl n,两,个,General,False,zi,ge,General,False,The noun 'zi' (character/word) conventionally takes the general classifier 'ge'. The usage of 'liang ge zi' (two characters) follows adult grammar standards.
Mandarin/AcadLang/lower/001.xml,Chinese,,啊 两 个 字,sfp num cl n,两,个,General,False,zi,ge,General,False,'Ge' is the standard classifier for characters/words (字).
Mandarin/AcadLang/lower/001.xml,Chinese,,篮球 像 一 个 大 肉圆,n v num cl adj n,一,个,General,False,肉圆,ge,General,False,"Meatballs (肉圆) conventionally take the general classifier 'ge'. While 'ke' or 'li' can be used to emphasize small roundness, 'ge' is the standard, correct classifier for this noun."
Mandarin/AcadLang/lower/001.xml,Chinese,,篮球 像 一 个 大 肉圆 啊,n v num cl adj n sfp,一,个,General,True,rouyuan,ke,General,True,Round objects like meatballs (rouyuan) conventionally take the specific classifier 'ke' (颗) for spherical items. Using the general classifier 'ge' (个) represents overuse.
Mandarin/AcadLang/lower/001.xml,Chinese,,它 要是 有 一 个 篮球,pro:per conj v num cl n,一,个,General,False,lanqiu,ge,General,False,Basketballs standardly take the general classifier 'ge' (个).
Mandarin/AcadLang/lower/002.xml,Chinese,2191.5,那 请 你 来 介绍 一下 这 个 好不好,pro:dem v pro:per v:dirc v adv det cl co:int,这,个,General,False,OMITTED,N/A,General,False,"The classifier '个' appears in a demonstrative construction ('这个') without an explicit following noun. In such contexts, '个' functions as a general placeholder and is the standard usage, not an overextension."
Mandarin/AcadLang/lower/002.xml,Chinese,2191.5,最后 一 个 了 好 吧,adv num cl asp adj sfp,一,个,General,False,OMITTED,N/A,General,False,"The noun following the classifier is omitted (e.g., implying 'one more [item]'). When the noun is not explicitly stated, 'ge' is the standard and appropriate general classifier to use."
Mandarin/AcadLang/lower/002.xml,Chinese,2191.5,皮球 是 和 那 个 苹果 一样的,n v:cop prep det cl n adj,那,个,General,False,pingguo,ge,General,False,'Ge' is the standard classifier for apples.
Mandarin/AcadLang/lower/003.xml,Chinese,1369.6875,还 有 这 个 颜色,adv v det cl n,这,个,General,True,yanse,zhong,General,True,"Colors typically require the specific classifier 'zhong' (种) when referring to types or kinds, rather than the general 'ge'."
Mandarin/AcadLang/lower/005.xml,Chinese,2191.5,这 是 一 个,pro:dem v:cop num cl,一,个,General,False,OMITTED,N/A,General,False,The noun following the numeral-classifier construction is omitted; 'ge' is appropriately used as a general placeholder when the specific noun is not expressed.
Mandarin/AcadLang/lower/005.xml,Chinese,2191.5,是 一 个 大 红色 的,v:cop num cl adj adj nom,一,个,General,False,OMITTED,N/A,General,False,The noun is omitted from the utterance; 'ge' is generally acceptable when the noun is not explicitly stated.
Mandarin/AcadLang/lower/005.xml,Chinese,2191.5,小 羊 又 到 了 一 间 教室 又 看 到 了 一样 东西 这 个 是,adj n adv v:resc asp num cl n adv v v:resc asp adj n det cl v:cop,这,个,General,False,OMITTED,N/A,General,False,Demonstrative usage without noun is correct.
Mandarin/AcadLang/lower/006.xml,Chinese,1521.875,但是 它 红色 的 皮 里面 有 一 个,conj pro:per adj nom n post v num cl,一,个,General,False,OMITTED,N/A,General,False,"The noun following the classifier is omitted in the utterance. When the noun is omitted, 'ge' is generally acceptable."
Mandarin/AcadLang/lower/006.xml,Chinese,1521.875,就 像 一 个 大 西瓜 一样,adv v num cl adj n adj,一,个,General,False,xigua,ge,General,False,Watermelons conventionally take the general classifier 'ge'.
Mandarin/AcadLang/lower/007.xml,Chinese,2191.5,他 又 来 到 了 另外 一 个 教室,pro:per adv v:dirc v:resc asp adv num cl n,一,个,General,True,教室,间,General,True,The noun '教室' (classroom/room) conventionally requires the specific classifier '间' (jian). Using the general classifier '个' constitutes overuse.
Mandarin/AcadLang/lower/007.xml,Chinese,2191.5,一 个 篮球,num cl n,一,个,General,False,lanqiu,ge,General,False,"'Ge' is the standard and most common classifier for basketballs in modern Mandarin, although 'zhi' is occasionally used."
